[2024-05-22 14:01:14,015: INFO: main: Welcome]
[2024-05-22 20:16:30,222: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-22 20:16:30,222: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-22 20:16:30,222: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-22 20:16:30,222: INFO: common: created directory at: artifacts]
[2024-05-22 20:16:30,222: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-22 20:16:30,230: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1yXkOfYmGqGMB1CvmD5qouaKV21f7jHVS/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-22 20:17:01,233: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1yXkOfYmGqGMB1CvmD5qouaKV21f7jHVS/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-22 20:17:01,679: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
